snapshot,F_future,dF,n,F_parity,pct
2026-03-30,6484.0,-10.816263877505433,26,6473.183736122494,-0.1668146804056976
2026-03-31,6669.5,-12.078364655235037,27,6657.421635344765,-0.1810985029647655
2026-04-01,6719.0,-12.416920916837851,27,6706.583079083162,-0.18480310934421568
2026-04-02,6722.0,-10.975628424635614,27,6711.024371575364,-0.16327920893537062
2026-04-06,6756.0,-10.068163790297733,27,6745.931836209702,-0.1490255149540813
2026-04-07,6755.0,-11.049746466630124,27,6743.9502535333695,-0.16357877818845484
2026-04-08,6929.5,-11.5751321811854,28,6917.924867818814,-0.16704137645119274
2026-04-09,6971.0,-10.84921397423291,28,6960.150786025767,-0.15563353857743378
2026-04-10,6962.5,-10.857838066308556,28,6951.642161933692,-0.15594740490209777
2026-04-13,7032.0,-11.607854852828929,28,7020.3921451471715,-0.1650718835726526
2026-04-14,7116.0,-12.240135687092412,29,7103.759864312908,-0.17200865215138295
2026-04-15,7172.25,-12.027051423083755,29,7160.222948576917,-0.16768868100085407
2026-04-16,7189.75,-11.448160305004894,29,7178.301839694995,-0.15922890649890323
2026-04-17,7273.75,-12.144356858689065,29,7261.605643141311,-0.16696142785618237
2026-04-20,7260.25,-11.34393309927912,29,7248.906066900721,-0.15624714161742528
2026-04-21,7212.25,-11.804234779074033,29,7200.445765220926,-0.1636692402381231
2026-04-22,7284.25,-12.002403349797195,29,7272.2475966502025,-0.16477198544527158
2026-04-23,7255.0,-12.16172758111636,29,7242.838272418883,-0.16763235811325097
2026-04-24,7306.5,-11.128697761214719,29,7295.371302238786,-0.15231229400143323
2026-04-27,7317.5,-11.394005338428101,29,7306.1059946615715,-0.15570898993410456
2026-04-28,7282.0,-13.613194267460877,29,7268.386805732539,-0.1869430687649118
2026-04-29,7279.0,-9.260891417781384,30,7269.739108582218,-0.12722752325568598
2026-04-30,7356.25,-12.106409669125767,30,7344.143590330874,-0.16457311359899088
2026-05-01,7371.75,-9.919093708940713,29,7361.830906291059,-0.13455548151986588
2026-05-04,7343.0,-11.578012853034206,29,7331.421987146966,-0.15767415025240647
2026-05-05,7400.75,-10.359631729675904,30,7390.390368270324,-0.13998083612709394
2026-05-06,7504.25,-12.059654251553383,30,7492.190345748447,-0.1607043242369775
2026-05-07,7477.75,-8.43823645835342,30,7469.3117635416465,-0.11284459173352172
2026-05-08,7535.25,-10.913509182929399,30,7524.336490817071,-0.14483274188553
2026-05-11,7554.25,-9.35875216848328,30,7544.891247831517,-0.12388724451114644
2026-05-12,7544.25,-11.185392703682963,30,7533.064607296317,-0.1482638128864097
2026-05-13,7588.75,-12.471686177719924,31,7576.27831382228,-0.1643444068880899
2026-05-14,7646.5,-9.496923050856106,31,7637.003076949144,-0.12419960832872694
2026-05-15,7552.0,-11.86239341549209,30,7540.137606584508,-0.15707618399751178
2026-05-18,7545.75,-8.247136796032898,30,7537.5028632039675,-0.10929512369258056
2026-05-19,7497.25,-10.095962979983366,30,7487.154037020016,-0.13466221587893382
2026-05-20,7573.0,-8.59255267199854,30,7564.407447328002,-0.11346299580085223
2026-05-21,7586.5,-10.372299323748331,31,7576.127700676252,-0.1367204814308091
2026-05-22,7614.5,-10.192672705724164,31,7604.307327294276,-0.1338587261898242
2026-05-26,7660.75,-9.523505501093382,31,7651.2264944989065,-0.12431557616543265
2026-05-27,7665.0,-9.12284883535085,31,7655.877151164649,-0.11901955427724525
2026-05-28,7708.5,-11.260430485200452,31,7697.2395695148,-0.14607810190309986
2026-05-29,7721.75,-11.035500149563351,31,7710.714499850436,-0.14291449670817305
2026-06-01,7739.5,-10.451801597658227,31,7729.048198402342,-0.13504492018422673
